action,atr,attempt,cancelled_algo_id,current_price,event,exchange_stop_algo_id,exchange_stop_price,exchange_stop_status,fill_price,inst_id,local_reason,operation,qty,reason,requested_stop,response,response_code,side,slippage_abs,strategy_stop_price,trade_id,trigger_price,ts
,0.0008149999999999991,1,,,STOP_PLACED,3394634592328957952,0.0832187383045095,active,,CELO-USDT-SWAP,,,3527.0,initial_turtle_stop,0.0832187383045095,,0,long,,0.0832187383045095,20260316_171314_CELO-USDT-SWAP_long,,2026-03-16 17:13:14
,9.200000000000042e-05,1,,,STOP_PLACED,3394634670074576896,0.029476,active,,LRC-USDT-SWAP,,,4000.0,initial_turtle_stop,0.029476,,0,long,,0.029476,20260316_171316_LRC-USDT-SWAP_long,,2026-03-16 17:13:17
place_missing_stop,0.000316,,,0.00182,STOP_MISSING,,0.0,,,RAVE-USDT-SWAP,,,18820.0,manage_open_positions,,,,short,,0.0029317787153212,20260316_171238_RAVE-USDT-SWAP_short,,2026-03-16 17:13:17
,0.000316,1,,,STOP_PLACED,3394634695441727488,0.0029317787153212,active,,RAVE-USDT-SWAP,,,18820.0,missing_stop_recovery,0.0029317787153212,,0,short,,0.0029317787153212,20260316_171238_RAVE-USDT-SWAP_short,,2026-03-16 17:13:17
place_missing_stop,4.011999999999995,,,430.72,STOP_MISSING,,0.0,,,TSLA-USDT-SWAP,,,260.0,manage_open_positions,,,,short,,381.1648016032064,20260316_171238_TSLA-USDT-SWAP_short,,2026-03-16 17:13:18
,4.011999999999995,,,430.72,STOP_REJECTED,,0.0,rejected_market_crossed,,TSLA-USDT-SWAP,,place_stop,260.0,market_already_crossed_stop,381.1648016032064,,,short,,381.1648016032064,20260316_171238_TSLA-USDT-SWAP_short,,2026-03-16 17:13:18
,4.011999999999995,,,430.72,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,TSLA-USDT-SWAP,,,260.0,market_already_crossed_stop,381.1648016032064,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,381.1648016032064,20260316_171238_TSLA-USDT-SWAP_short,,2026-03-16 17:13:18
,4.011999999999995,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,430.72,TSLA-USDT-SWAP,market_already_crossed_stop,,260.0,,,,,short,-49.55519839679363,381.1648016032064,20260316_171238_TSLA-USDT-SWAP_short,381.1648016032064,2026-03-16 17:13:18
place_missing_stop,7.900000000000059e-05,,,0.10405,STOP_MISSING,,0.0,,,CRO-USDT-SWAP,,,9507.0,manage_open_positions,,,,short,,0.1028506093294466,20260316_171239_CRO-USDT-SWAP_short,,2026-03-16 17:13:19
,7.900000000000059e-05,,,0.10405,STOP_REJECTED,,0.0,rejected_market_crossed,,CRO-USDT-SWAP,,place_stop,9507.0,market_already_crossed_stop,0.1028506093294466,,,short,,0.1028506093294466,20260316_171239_CRO-USDT-SWAP_short,,2026-03-16 17:13:19
,7.900000000000059e-05,,,0.10405,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,CRO-USDT-SWAP,,,9507.0,market_already_crossed_stop,0.1028506093294466,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,0.1028506093294466,20260316_171239_CRO-USDT-SWAP_short,,2026-03-16 17:13:19
,7.900000000000059e-05,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,0.10405,CRO-USDT-SWAP,market_already_crossed_stop,,9507.0,,,,,short,-0.001199390670553399,0.1028506093294466,20260316_171239_CRO-USDT-SWAP_short,0.1028506093294466,2026-03-16 17:13:19
place_missing_stop,1.9999999999997796e-05,,,1.013,STOP_MISSING,,0.0,,,BREV-USDT-SWAP,,,120000.0,manage_open_positions,,,,long,,1.0088649966666678,20260316_171239_BREV-USDT-SWAP_long,,2026-03-16 17:13:20
,1.9999999999997796e-05,1,,,STOP_PLACED,3394634797145210880,1.0088649966666678,active,,BREV-USDT-SWAP,,,120000.0,missing_stop_recovery,1.0088649966666678,,0,long,,1.0088649966666678,20260316_171239_BREV-USDT-SWAP_long,,2026-03-16 17:13:20
,1.9999999999997796e-05,,3394634797145210880,,STOP_CANCELLED,3394634797145210880,1.0088649966666678,active,,BREV-USDT-SWAP,,,120000.0,pre_close:Защита тренда: откат от пика 1027.38R → 102.38R,,,,long,,1.0088649966666678,20260316_171239_BREV-USDT-SWAP_long,,2026-03-16 17:13:21
,0.0008149999999999991,,3394634592328957952,,STOP_CANCELLED,3394634592328957952,0.0832187383045095,active,,CELO-USDT-SWAP,,,3527.0,replace:unit_added,,,,long,,0.16973822660901897,20260316_171314_CELO-USDT-SWAP_long,,2026-03-16 17:13:23
,0.0008149999999999991,,,0.0848487383045095,STOP_REJECTED,,0.0,rejected_market_crossed,,CELO-USDT-SWAP,,place_stop,3527.0,market_already_crossed_stop,0.16973822660901897,,,long,,0.16973822660901897,20260316_171314_CELO-USDT-SWAP_long,,2026-03-16 17:13:23
,0.0008149999999999991,,,0.0848487383045095,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,CELO-USDT-SWAP,,,3527.0,market_already_crossed_stop,0.16973822660901897,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,long,,0.16973822660901897,20260316_171314_CELO-USDT-SWAP_long,,2026-03-16 17:13:23
place_missing_stop,0.0008149999999999991,,,0.0821,STOP_MISSING,,0.0,local_protective_exit_pending,,CELO-USDT-SWAP,,,4314.0,manage_open_positions,,,,long,,0.16973822660901897,20260316_171314_CELO-USDT-SWAP_long,,2026-03-16 17:14:04
,0.0008149999999999991,,,0.0821,STOP_REJECTED,,0.0,rejected_market_crossed,,CELO-USDT-SWAP,,place_stop,4314.0,market_already_crossed_stop,0.16973822660901897,,,long,,0.16973822660901897,20260316_171314_CELO-USDT-SWAP_long,,2026-03-16 17:14:04
,0.0008149999999999991,,,0.0821,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,CELO-USDT-SWAP,,,4314.0,market_already_crossed_stop,0.16973822660901897,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,long,,0.16973822660901897,20260316_171314_CELO-USDT-SWAP_long,,2026-03-16 17:14:04
,0.0008149999999999991,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,0.0821,CELO-USDT-SWAP,market_already_crossed_stop,,4314.0,,,,,long,-0.08763822660901896,0.16973822660901897,20260316_171314_CELO-USDT-SWAP_long,0.16973822660901897,2026-03-16 17:14:04
place_missing_stop,4.011999999999995,,,433.4,STOP_MISSING,,0.0,,,TSLA-USDT-SWAP,,,260.0,manage_open_positions,,,,short,,381.1648016032064,20260316_171329_TSLA-USDT-SWAP_short,,2026-03-16 17:14:09
,4.011999999999995,,,433.4,STOP_REJECTED,,0.0,rejected_market_crossed,,TSLA-USDT-SWAP,,place_stop,260.0,market_already_crossed_stop,381.1648016032064,,,short,,381.1648016032064,20260316_171329_TSLA-USDT-SWAP_short,,2026-03-16 17:14:09
,4.011999999999995,,,433.4,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,TSLA-USDT-SWAP,,,260.0,market_already_crossed_stop,381.1648016032064,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,381.1648016032064,20260316_171329_TSLA-USDT-SWAP_short,,2026-03-16 17:14:09
,4.011999999999995,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,433.4,TSLA-USDT-SWAP,market_already_crossed_stop,,260.0,,,,,short,-52.23519839679358,381.1648016032064,20260316_171329_TSLA-USDT-SWAP_short,381.1648016032064,2026-03-16 17:14:09
place_missing_stop,7.900000000000059e-05,,,0.10405,STOP_MISSING,,0.0,,,CRO-USDT-SWAP,,,9507.0,manage_open_positions,,,,short,,0.1028506093294466,20260316_171330_CRO-USDT-SWAP_short,,2026-03-16 17:14:10
